benchmark;queries;location;timestamp;change size;classes;methods;fields;instructions;warmup iterations;measure iterations;times(ms)
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310417940207;305;6;0;0;0;1;1;;234.788717
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310417942965;35;6;0;0;0;1;1;;21.321515
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310509139453;14;7;0;0;0;1;1;;11.193539
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310509600610;1;7;0;0;0;1;1;;2.618325
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310510134584;5;7;0;0;0;1;1;;6.693423
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310510137969;1;7;0;0;0;1;1;;1.324558
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310510214830;6;7;0;0;0;1;1;;7.644884
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310510224502;1;7;0;0;0;1;1;;2.624362
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310510318929;1;7;0;0;0;1;1;;2.512071
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310510362141;1;7;0;0;0;1;1;;2.538635
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310510462028;6;7;0;0;0;1;1;;7.640959
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310510496348;1;7;0;0;0;1;1;;2.740881
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310510502510;1;7;0;0;0;1;1;;2.665717
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310510546892;1;7;0;0;0;1;1;;2.485508
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310510621336;1;7;0;0;0;1;1;;2.585725
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310510719117;1;7;0;0;0;1;1;;2.697413
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310510750286;1;7;0;0;0;1;1;;2.789479
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310510846023;1;7;0;0;0;1;1;;2.772877
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310511024144;1;7;0;0;0;1;1;;2.762312
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310511162204;2;7;0;0;0;1;1;;1.157026
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310512091030;1;6;0;0;0;1;1;;0.447959
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310512112246;1;6;0;0;0;1;1;;0.503803
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310512454496;1;6;0;0;0;1;1;;0.501388
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310512463591;1;6;0;0;0;1;1;;0.515877
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310512560202;1;6;0;0;0;1;1;;2.736957
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310512613039;1;6;0;0;0;1;1;;2.749333
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310512624958;1;6;0;0;0;1;1;;2.87551
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310512706249;1;6;0;0;0;1;1;;2.745711
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310512990503;1;6;0;0;0;1;1;;2.788574
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310513025884;1;6;0;0;0;1;1;;2.892414
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310513543475;1;6;0;0;0;1;1;;2.829325
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310513852354;1;6;0;0;0;1;1;;2.817855
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310513964799;3;6;0;0;0;1;1;;5.793279
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310514095715;3;6;0;0;0;1;1;;5.395127
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310514194791;1;6;0;0;0;1;1;;2.552822
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310514214119;1;6;0;0;0;1;1;;2.85287
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310514223775;1;6;0;0;0;1;1;;2.800649
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310514619361;4;6;0;0;0;1;1;;6.976266
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310514919056;1;6;0;0;0;1;1;;1.192646
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310515015062;1;6;0;0;0;1;1;;0.497766
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310515205088;1;6;0;0;0;1;1;;0.465165
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310515275869;1;6;0;0;0;1;1;;0.510142
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310515284917;1;6;0;0;0;1;1;;0.506519
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310563401980;1;6;0;0;0;1;1;;0.495954
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310564478073;1;6;0;0;0;1;1;;2.816949
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310564549724;1;6;0;0;0;1;1;;0.307594
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310564820915;2;7;0;0;0;1;1;;2.487922
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310564911957;30;6;0;0;0;1;1;;14.282161
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310564927027;262;6;0;0;0;1;1;;199.422302
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310564929211;89;6;0;0;0;1;1;;60.083845
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310564942112;2;6;0;0;0;1;1;;1.899297
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310564965855;1;6;0;0;0;1;1;;2.79431
